breed,Q121,Q125,Q127,Q124,Q54,Q123,Q60,Q17,frac_of_breed,img
mixed breed,any,any,any,any,any,any,any,any,1,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,any,any,negative,0.38839197,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,any,any,positive,0.009143311,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,any,negative,any,0.376664679,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,any,negative,negative,0.150467104,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,any,negative,positive,0.002583979,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,any,positive,any,0.198568873,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,any,positive,negative,0.070960048,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,any,positive,positive,0.002186444,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,negative,any,any,0.147684357,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,negative,any,negative,0.059630292,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,negative,any,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,negative,negative,any,0.061220433,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,negative,negative,negative,0.024249652,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,negative,positive,any,0.025442258,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,negative,positive,negative,0.009143311,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,negative,positive,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,positive,any,any,0.457960644,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,positive,any,negative,0.172132777,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,positive,any,positive,0.00417412,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,positive,negative,any,0.163188233,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,positive,negative,negative,0.064400716,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,positive,negative,positive,0.001590141,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,positive,positive,any,0.100775194,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,positive,positive,negative,0.034585569,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,any,positive,positive,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,any,any,any,0.470880541,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,any,any,negative,0.192208308,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,any,any,positive,0.00417412,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,any,negative,any,0.187437885,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,any,negative,negative,0.076923077,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,any,negative,positive,0.001192606,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,any,positive,any,0.081494733,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,any,positive,negative,0.032399125,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,any,positive,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,negative,any,any,0.065990857,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,negative,any,negative,0.02782747,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,negative,any,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,negative,negative,any,0.029020076,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,negative,negative,negative,0.011528523,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,negative,positive,any,0.009540847,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,negative,positive,negative,0.003975353,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,positive,any,any,0.220433313,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,positive,any,negative,0.086066388,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,positive,any,positive,0.001788909,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,positive,negative,any,0.083482409,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,positive,negative,negative,0.034784337,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,positive,negative,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,positive,positive,any,0.042337507,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,positive,positive,negative,0.014708805,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,negative,positive,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,any,any,any,0.098986285,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,any,any,negative,0.035778175,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,any,any,positive,0.001788909,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,any,negative,any,0.040349831,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,any,negative,negative,0.015503876,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,any,negative,positive,0.000993838,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,any,positive,any,0.012522361,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,any,positive,negative,0.003577818,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,any,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,negative,any,any,0.01431127,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,negative,any,negative,0.0067581,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,negative,any,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,negative,negative,any,0.005366726,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,negative,negative,negative,0.003180282,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,negative,positive,any,0.001788909,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,negative,positive,negative,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,negative,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,positive,any,any,0.043331346,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,positive,any,negative,0.014112502,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,positive,any,positive,0.001192606,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,positive,negative,any,0.018087855,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,positive,negative,negative,0.005963029,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,positive,negative,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,positive,positive,any,0.005963029,./img/breeds/mixed_breed.png
mixed breed,any,any,any,any,positive,positive,positive,negative,0.001590141,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,any,any,any,0.285430332,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,any,any,negative,0.112701252,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,any,any,positive,0.003776585,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,any,negative,any,0.110912343,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,any,negative,negative,0.043927649,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,any,negative,positive,0.000993838,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,any,positive,any,0.053269728,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,any,positive,negative,0.019081694,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,any,positive,positive,0.000993838,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,negative,any,any,0.043132578,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,negative,any,negative,0.01769032,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,negative,any,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,negative,negative,any,0.018684158,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,negative,negative,negative,0.006161797,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,negative,positive,any,0.006956867,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,negative,positive,negative,0.002782747,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,negative,positive,positive,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,positive,any,any,0.12303717,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,positive,any,negative,0.048499304,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,positive,any,positive,0.001590141,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,positive,negative,any,0.041343669,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,positive,negative,negative,0.016895249,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,positive,negative,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,positive,positive,any,0.026833631,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,any,positive,positive,negative,0.009540847,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,any,any,any,0.132379249,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,any,any,negative,0.051878354,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,any,any,positive,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,any,negative,any,0.05307096,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,any,negative,negative,0.020075532,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,any,negative,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,any,positive,any,0.021665673,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,any,positive,negative,0.008944544,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,any,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,negative,any,any,0.01769032,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,negative,any,negative,0.007751938,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,negative,negative,any,0.007751938,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,negative,negative,negative,0.002583979,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,negative,positive,any,0.002385212,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,negative,positive,negative,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,positive,any,any,0.059232757,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,positive,any,negative,0.022261976,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,positive,any,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,positive,negative,any,0.020473067,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,positive,negative,negative,0.008149473,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,positive,negative,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,positive,positive,any,0.012124826,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,negative,positive,positive,negative,0.004372888,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,any,any,any,0.031405287,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,any,any,negative,0.011926058,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,any,any,positive,0.000993838,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,any,negative,any,0.013913735,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,any,negative,negative,0.005764262,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,any,negative,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,any,positive,any,0.003776585,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,any,positive,negative,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,any,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,negative,any,any,0.00417412,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,negative,any,negative,0.002186444,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,negative,any,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,negative,negative,any,0.001788909,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,negative,negative,negative,0.000993838,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,negative,positive,any,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,negative,positive,negative,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,negative,positive,positive,0.000198768,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,positive,any,any,0.012124826,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,positive,any,negative,0.004770423,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,positive,any,positive,0.000795071,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,positive,negative,any,0.005366726,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,positive,negative,negative,0.002186444,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,positive,negative,positive,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,positive,positive,any,0.001192606,./img/breeds/mixed_breed.png
mixed breed,any,any,any,negative,positive,positive,positive,negative,0.000397535,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,any,any,any,0.046114093,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,any,any,negative,0.018286623,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,any,negative,any,0.01769032,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,any,negative,negative,0.007354403,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,any,positive,any,0.008149473,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,any,positive,negative,0.00337905,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,negative,any,any,0.007155635,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,negative,any,negative,0.002583979,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,negative,negative,any,0.00337905,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,negative,negative,negative,0.001391373,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,negative,positive,any,0.000596303,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,positive,any,any,0.018485391,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,positive,any,negative,0.007354403,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,positive,negative,any,0.006559332,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,positive,negative,negative,0.002385212,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,positive,positive,any,0.004372888,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,any,positive,positive,negative,0.001788909,./img/breeds/mixed_breed.png
mixed breed,any,any,any,positive,negative,any,any,any,0.022063208,./img/breeds/mixed_breed.png
